product_id,product_name,category,subcategory,brand,list_price
P00001,Jeans BelleVie 00001,Vêtements,Jeans,BelleVie,50.73
P00002,Bottes Maison+ 00002,Chaussures,Bottes,Maison+,49.82
P00003,Parfum Maison+ 00003,Beauté,Parfum,Maison+,94.44
P00004,Textile OmniBasics 00004,Maison,Textile,OmniBasics,149.19
P00005,Déco BelleVie 00005,Maison,Déco,BelleVie,26.81
P00006,Casquettes SportyCo 00006,Accessoires,Casquettes,SportyCo,36.92
P00007,T-shirts UrbanLine 00007,Vêtements,T-shirts,UrbanLine,96.17
P00008,Jeans OmniBasics 00008,Vêtements,Jeans,OmniBasics,54.91
P00009,Makeup Maison+ 00009,Beauté,Makeup,Maison+,24.59
P00010,Ceintures Maison+ 00010,Accessoires,Ceintures,Maison+,108.25
P00011,Pulls UrbanLine 00011,Vêtements,Pulls,UrbanLine,71.08
P00012,Bottes BelleVie 00012,Chaussures,Bottes,BelleVie,90.02
P00013,Déco Maison+ 00013,Maison,Déco,Maison+,170.46
P00014,Jeans OmniBasics 00014,Vêtements,Jeans,OmniBasics,99.53
P00015,Skincare OmniBasics 00015,Beauté,Skincare,OmniBasics,29.52
P00016,Cuisine Maison+ 00016,Maison,Cuisine,Maison+,51.97
P00017,Skincare BelleVie 00017,Beauté,Skincare,BelleVie,22.57
P00018,Bottes SportyCo 00018,Chaussures,Bottes,SportyCo,113.15
P00019,Textile SportyCo 00019,Maison,Textile,SportyCo,87.09
P00020,Bottes SportyCo 00020,Chaussures,Bottes,SportyCo,106.56
P00021,T-shirts UrbanLine 00021,Vêtements,T-shirts,UrbanLine,80.88
P00022,Makeup OmniBasics 00022,Beauté,Makeup,OmniBasics,47.25
P00023,Textile SportyCo 00023,Maison,Textile,SportyCo,59.27
P00024,Déco OmniBasics 00024,Maison,Déco,OmniBasics,140.16
P00025,Textile Maison+ 00025,Maison,Textile,Maison+,32.97
P00026,Parfum BelleVie 00026,Beauté,Parfum,BelleVie,8.33
P00027,Ceintures SportyCo 00027,Accessoires,Ceintures,SportyCo,137.77
P00028,Ceintures UrbanLine 00028,Accessoires,Ceintures,UrbanLine,62.35
P00029,Sneakers SportyCo 00029,Chaussures,Sneakers,SportyCo,82.0
P00030,T-shirts Maison+ 00030,Vêtements,T-shirts,Maison+,107.27
P00031,Ceintures OmniBasics 00031,Accessoires,Ceintures,OmniBasics,43.72
P00032,Déco OmniBasics 00032,Maison,Déco,OmniBasics,149.6
P00033,Pulls UrbanLine 00033,Vêtements,Pulls,UrbanLine,28.48
P00034,Makeup UrbanLine 00034,Beauté,Makeup,UrbanLine,35.04
P00035,Textile UrbanLine 00035,Maison,Textile,UrbanLine,186.64
P00036,Sandales BelleVie 00036,Chaussures,Sandales,BelleVie,179.3
P00037,Bijoux SportyCo 00037,Accessoires,Bijoux,SportyCo,73.21
P00038,Bottes OmniBasics 00038,Chaussures,Bottes,OmniBasics,84.02
P00039,Cuisine UrbanLine 00039,Maison,Cuisine,UrbanLine,122.63
P00040,T-shirts OmniBasics 00040,Vêtements,T-shirts,OmniBasics,39.04
P00041,Robes OmniBasics 00041,Vêtements,Robes,OmniBasics,68.99
P00042,Bijoux UrbanLine 00042,Accessoires,Bijoux,UrbanLine,85.49
P00043,Cuisine BelleVie 00043,Maison,Cuisine,BelleVie,57.68
P00044,Skincare UrbanLine 00044,Beauté,Skincare,UrbanLine,17.62
P00045,Skincare BelleVie 00045,Beauté,Skincare,BelleVie,49.93
P00046,Chemises OmniBasics 00046,Vêtements,Chemises,OmniBasics,21.36
P00047,Sacs UrbanLine 00047,Accessoires,Sacs,UrbanLine,36.82
P00048,Textile UrbanLine 00048,Maison,Textile,UrbanLine,91.31
P00049,Bijoux UrbanLine 00049,Accessoires,Bijoux,UrbanLine,132.43
P00050,Manteaux SportyCo 00050,Vêtements,Manteaux,SportyCo,25.28
P00051,Déco OmniBasics 00051,Maison,Déco,OmniBasics,186.16
P00052,Bottes BelleVie 00052,Chaussures,Bottes,BelleVie,105.42
P00053,Ville OmniBasics 00053,Chaussures,Ville,OmniBasics,58.87
P00054,Manteaux Maison+ 00054,Vêtements,Manteaux,Maison+,112.28
P00055,Skincare BelleVie 00055,Beauté,Skincare,BelleVie,79.05
P00056,Cuisine BelleVie 00056,Maison,Cuisine,BelleVie,41.1
P00057,Ceintures OmniBasics 00057,Accessoires,Ceintures,OmniBasics,91.09
P00058,Déco Maison+ 00058,Maison,Déco,Maison+,22.75
P00059,Textile SportyCo 00059,Maison,Textile,SportyCo,184.84
P00060,Déco OmniBasics 00060,Maison,Déco,OmniBasics,192.63
P00061,Jeans OmniBasics 00061,Vêtements,Jeans,OmniBasics,77.48
P00062,Ville OmniBasics 00062,Chaussures,Ville,OmniBasics,171.53
P00063,Déco SportyCo 00063,Maison,Déco,SportyCo,123.77
P00064,Déco BelleVie 00064,Maison,Déco,BelleVie,135.59
P00065,Cuisine Maison+ 00065,Maison,Cuisine,Maison+,187.72
P00066,Sandales UrbanLine 00066,Chaussures,Sandales,UrbanLine,73.51
P00067,Sandales BelleVie 00067,Chaussures,Sandales,BelleVie,80.85
